--- HPC Assignment 04 : Experiment 03 ---,Serial_mover,,,,
Grid: 1000 x 400 | Particles: 14000000 | Iterations: 10,,,,,
--------------------------------------------------,,,,,
Iter,Interp(s),Mover(s),Total(s),,
1,0.3651,,0.3111,,0.6762
2,0.3542,,0.3111,,0.6653
3,0.3541,,0.3113,,0.6654
4,0.3542,,0.3117,,0.6659
5,0.3548,,0.3115,,0.6663
6,0.354,,0.3115,,0.6655
7,0.3552,,0.3113,,0.6665
8,0.3542,,0.3113,,0.6655
9,0.3543,,0.3115,,0.6658
10,0.3539,,0.3114,,0.6653
--------------------------------------------------,,,,,
Total Execution Time (Over 10 Iters) = 6.667664 seconds,,,,,
,,,,,
--- HPC Assignment 04 : Experiment 03 ---,Parallel_mover,,,,
Grid: 1000 x 400 | Particles: 14000000 | Iterations: 10,,,,,
--------------------------------------------------,,,,,
Iter,Interp(s),Mover(s),Total(s),,
1,0.3693,,0.1239,,0.4932
2,0.3864,,0.0967,,0.4831
3,0.3742,,0.0945,,0.4688
4,0.3731,,0.0852,,0.4584
5,0.3852,,0.0807,,0.4659
6,0.3695,,0.0815,,0.451
7,0.3782,,0.0796,,0.4578
8,0.3702,,0.082,,0.4521
9,0.3717,,0.082,,0.4538
10,0.3709,,0.0807,,0.4517
--------------------------------------------------,,,,,
Total Execution Time (Over 10 Iters) = 4.635648 seconds,,,,,
