Config,Cores,Total_Alg_Time,Int_Time,Norm_Time,Mover_Time,Denorm_Time,Voids
A,1,0.059124,0.022567,0.000182,0.036021,0.000051,2
A,2,0.029845,0.011623,0.000345,0.017869,0.000114,2
A,4,0.020598,0.008276,0.000528,0.011685,0.000185,2
A,6,0.020521,0.008194,0.001031,0.010936,0.000428,2
A,8,0.017921,0.007725,0.000923,0.008987,0.000322,2
A,10,0.019488,0.008043,0.001603,0.009325,0.000591,2
A,12,0.017988,0.007391,0.001728,0.008324,0.000608,2
A,14,0.017683,0.007091,0.001598,0.008582,0.000476,2
A,16,0.018966,0.007709,0.001956,0.008721,0.000644,2
B,1,0.317564,0.119706,0.000183,0.197597,0.000078,9
B,2,0.163958,0.060884,0.000360,0.102496,0.000218,9
B,4,0.094183,0.035811,0.000466,0.057699,0.000207,9
B,6,0.095543,0.036838,0.000937,0.057399,0.000369,9
B,8,0.080146,0.034062,0.001240,0.044381,0.000463,9
B,10,0.083517,0.029626,0.001437,0.051968,0.000486,9
B,12,0.084123,0.035355,0.001549,0.046581,0.000638,9
B,14,0.085088,0.032889,0.001858,0.049639,0.000702,9
B,16,0.075542,0.030056,0.002105,0.042648,0.000733,9
C,1,0.247746,0.098283,0.000706,0.148541,0.000216,1
C,2,0.128157,0.052655,0.000655,0.074530,0.000317,1
C,4,0.076390,0.032188,0.000655,0.043219,0.000328,1
C,6,0.078330,0.033446,0.001081,0.043246,0.000557,1
C,8,0.080665,0.035705,0.001460,0.042922,0.000578,1
C,10,0.069817,0.031102,0.001561,0.036519,0.000635,1
C,12,0.079480,0.037477,0.001989,0.039175,0.000839,1
C,14,0.071376,0.031349,0.002012,0.037266,0.000749,1
C,16,0.067973,0.030261,0.002276,0.034608,0.000828,1
D,1,1.430436,0.553620,0.000707,0.875856,0.000253,10
D,2,0.720878,0.285079,0.000684,0.434810,0.000305,10
D,4,0.437544,0.178324,0.000901,0.257870,0.000449,10
D,6,0.452592,0.172977,0.001387,0.277610,0.000618,10
D,8,0.342356,0.143099,0.001399,0.197294,0.000564,10
D,10,0.372152,0.148950,0.001700,0.220793,0.000709,10
D,12,0.370973,0.153351,0.001731,0.215061,0.000830,10
D,14,0.349831,0.144484,0.002394,0.202055,0.000898,10
D,16,0.372586,0.158352,0.002276,0.210909,0.001049,10
E,1,1.007541,0.407876,0.002756,0.596226,0.000683,3
E,2,0.548840,0.221673,0.001793,0.324693,0.000681,3
E,4,0.323008,0.137612,0.001309,0.183518,0.000569,3
E,6,0.313219,0.153239,0.001845,0.157099,0.001036,3
E,8,0.296678,0.150599,0.001822,0.143322,0.000935,3
E,10,0.316413,0.162593,0.002078,0.150781,0.000961,3
E,12,0.304277,0.160431,0.002245,0.140559,0.001042,3
E,14,0.322858,0.171168,0.002518,0.148041,0.001131,3
E,16,0.342429,0.187481,0.002684,0.151069,0.001195,3
