Config,Cores,Total_Alg_Time,Int_Time,Norm_Time,Mover_Time,Denorm_Time,Voids
A,1,0.170290,0.133996,0.000278,0.035980,0.000038,3
A,2,0.107099,0.087376,0.000154,0.019528,0.000041,3
A,4,0.066198,0.055132,0.000095,0.010938,0.000032,3
A,6,0.049193,0.040130,0.000076,0.008948,0.000038,3
A,8,0.064018,0.053955,0.000088,0.009936,0.000038,3
A,10,0.055512,0.046880,0.000078,0.008518,0.000036,3
A,12,0.049796,0.041889,0.000106,0.007766,0.000035,3
A,14,0.065746,0.052842,0.000737,0.011826,0.000341,3
A,16,0.070076,0.056461,0.000928,0.012125,0.000562,3
B,1,0.944746,0.745247,0.000278,0.199181,0.000039,11
B,2,0.571062,0.464922,0.000148,0.105954,0.000038,11
B,4,0.381798,0.289315,0.000090,0.092358,0.000035,11
B,6,0.339583,0.244417,0.000163,0.094945,0.000058,11
B,8,0.384917,0.293386,0.000742,0.090749,0.000039,11
B,10,0.349910,0.257190,0.000582,0.092082,0.000055,11
B,12,0.318892,0.225018,0.000098,0.093711,0.000065,11
B,14,0.355368,0.251418,0.002695,0.100342,0.000914,11
B,16,0.349280,0.248378,0.002787,0.096728,0.001386,11
C,1,0.692987,0.539282,0.001070,0.152498,0.000138,1
C,2,0.443474,0.359772,0.000557,0.083013,0.000132,1
C,4,0.284247,0.219424,0.000298,0.064427,0.000098,1
C,6,0.243602,0.179302,0.000338,0.063863,0.000098,1
C,8,0.292232,0.225026,0.000275,0.066832,0.000098,1
C,10,0.260113,0.195437,0.000220,0.064349,0.000107,1
C,12,0.241310,0.173021,0.001898,0.066279,0.000113,1
C,14,0.262582,0.189838,0.003544,0.067581,0.001621,1
C,16,0.261297,0.188838,0.003137,0.068121,0.001202,1
D,1,3.840654,2.998713,0.001071,0.840734,0.000137,5
D,2,2.450422,1.994671,0.000591,0.455033,0.000126,5
D,4,1.586189,1.209749,0.000295,0.376049,0.000096,5
D,6,1.292527,0.912744,0.000234,0.379435,0.000114,5
D,8,1.555175,1.167546,0.001001,0.386515,0.000114,5
D,10,1.443544,1.059020,0.000713,0.383391,0.000420,5
D,12,1.321054,0.931346,0.000309,0.389283,0.000116,5
D,14,1.448225,1.048184,0.003260,0.395496,0.001286,5
D,16,1.412073,1.016406,0.003327,0.391170,0.001169,5
E,1,3.299639,2.579945,0.004230,0.714666,0.000799,0
E,2,1.672118,1.285944,0.002205,0.383279,0.000690,0
E,4,1.105245,0.805986,0.001144,0.297688,0.000426,0
E,6,0.907259,0.618259,0.000812,0.287812,0.000375,0
E,8,1.069446,0.773028,0.001438,0.294547,0.000432,0
E,10,0.995593,0.702642,0.001588,0.290959,0.000405,0
E,12,0.922483,0.622233,0.000568,0.299334,0.000348,0
E,14,1.015153,0.706258,0.003697,0.303528,0.001669,0
E,16,0.983054,0.677086,0.003421,0.301299,0.001248,0
